##//////////////////////////////////////////////////////////////////////////////////
##
## CO2 EMISSIONS FROM LAND USE CHANGE 
##
## Provided are annual and cumulative CO2 emissions from anthropogenic land use 
## change, simulated using the LPX model in a D1 setup (see Pongratz et al., 2014) 
## under constant preindustrial environmental boundary conditions, and following six 
## different land use change scenarios (HYDE 3.1, HYDE 3.1 upper, HYDE 3.2, 
## HYDE 3.2 upper, KK10, KK10D). Further description is provided in the manuscript. 
##
## Citation: Stocker et al.: Holocene peatland and ice core data constraints on 
## the timing and magnitude of CO2 emissions from past land use, PNAS, 2017 
##
## Columns description:
## 1.  year         year CE (AD)
## 2.  hyde31       LUC emissions following scenario HYDE 3.1 (PgC yr-1)
## 3.  hyde32       LUC emissions following scenario HYDE 3.2 (PgC yr-1)
## 4.  hyde31u      LUC emissions following scenario HYDE 3.1 upper (PgC yr-1)
## 5.  hyde32u      LUC emissions following scenario HYDE 3.2 upper (PgC yr-1)
## 6.  kk10         LUC emissions following scenario HYDE KK 10 (PgC yr-1)
## 7.  kk10d        LUC emissions following scenario HYDE KK 10D (PgC yr-1)
## 8.  hyde31_cum   cumulative LUC emissions following scenario HYDE 3.1, (PgC)   
## 9.  hyde32_cum   cumulative LUC emissions following scenario HYDE 3.2, (PgC)   
## 10. hyde31u_cum  cumulative LUC emissions following scenario HYDE 3.1 upper, (PgC)    
## 11. hyde32u_cum  cumulative LUC emissions following scenario HYDE 3.2 upper, (PgC)
## 12. kk10_cum     cumulative LUC emissions following scenario HYDE KK 10, (PgC)
## 13. kk10d_cum    cumulative LUC emissions following scenario HYDE KK 10D, (PgC)   
## ----------------------------------------------------------------------------------
"year","hyde31","hyde32","hyde31u","hyde32u","kk10","kk10d","hyde31_cum","hyde32_cum","hyde31u_cum","hyde32u_cum","kk10_cum","kk10d_cum"
-9967,0,0,0,0,0.0264746669997854,8.41367636894574e-06,0,0,0,0,0.738603194999716,0.000253211226208805
-9966,0,0,0,0,0.0305036730001456,1.22084779832221e-05,0,0,0,0,0.769106867999861,0.000265419704192027
-9965,0,0,0,0,0.0288390439998901,1.3186504929763e-05,0,0,0,0,0.797945911999751,0.00027860620912179
-9964,0,0,0,0,0.0336711140000495,1.79007056431146e-05,0,0,0,0,0.831617025999801,0.000296506914764904
-9963,0,0,0,0,0.0294841380001943,1.50776136251807e-05,0,0,0,0,0.861101163999995,0.000311584528390085
-9962,0,0,0,0,0.0348023470000007,1.31540496113303e-05,0,0,0,0,0.895903510999996,0.000324738578001415
-9961,0,0,0,0,0.0293412380002445,1.69692089002638e-05,0,0,0,0,0.92524474900024,0.000341707786901679
-9960,0,0,0,0,0.0290400850000925,1.48029657793813e-05,0,0,0,0,0.954284834000333,0.000356510752681061
-9959,0,0,0,0,0.0281549779996362,-0.000176300522980455,0,0,0,0,0.982439811999969,0.000180210229700605
-9958,0,0,0,0,0.0317696810000968,8.9325397311768e-05,0,0,0,0,1.01420949300007,0.000269535627012374
-9957,0,0,0,0,0.0270099769999375,2.26037686843483e-05,0,0,0,0,1.04121947,0.000292139395696722
-9956,0,0,0,0,0.0273107800000895,2.29044362640707e-05,0,0,0,0,1.06853025000009,0.000315043831960793
-9955,0,0,0,0,0.0288362999999403,3.7340775179473e-05,0,0,0,0,1.09736655000003,0.000352384607140265
-9954,0,0,0,0,0.0333471299996951,2.89942786366737e-05,0,0,0,0,1.13071367999973,0.000381378885776939
-9953,0,0,0,0,0.0318766600002991,1.30136249936186e-05,0,0,0,0,1.16259034000003,0.000394392510770558
-9952,0,0,0,0,0.0283993900000408,1.57632762238791e-05,0,0,0,0,1.19098973000007,0.000410155786994437
-9951,0,0,0,0,0.0336978899998472,-4.47700012955465e-05,0,0,0,0,1.22468761999992,0.00036538578569889
-9950,0,0,0,0,0.026404000000088,0.00011286640938124,0,0,0,0,1.25109162,0.00047825219508013
-9949,0,0,0,0,0.0339147500002518,5.94141138208215e-05,0,0,0,0,1.28500637000026,0.000537666308900952
-9948,0,0,0,0,0.0310325199998428,3.81860777451948e-05,0,0,0,0,1.3160388900001,0.000575852386646147
-9947,0,0,0,0,0.0368480199997512,9.92455461528152e-05,0,0,0,0,1.35288690999985,0.000675097932798962
-9946,0,0,0,0,0.0343922999998989,-3.00524229714938e-05,0,0,0,0,1.38727920999975,0.000645045509827468
-9945,0,0,0,0,0.0305057000006003,-7.71738905314123e-06,0,0,0,0,1.41778491000035,0.000637328120774327
-9944,0,0,0,0,0.0398781099994027,0.00741362009421209,0,0,0,0,1.45766301999975,0.00805094821498642
-9943,0,0,0,0,0.0316243000003492,0.0003486496016194,0,0,0,0,1.4892873200001,0.00839959781660582
-9942,0,0,0,0,0.0327760299998457,-0.00113366055848019,0,0,0,0,1.52206334999995,0.00726593725812563
-9941,0,0,0,0,0.0312089599997927,-0.000712555346126464,0,0,0,0,1.55327230999974,0.00655338191199916
-9940,0,0,0,0,0.0343238800001513,-0.000586081378060044,0,0,0,0,1.58759618999989,0.00596730053393912
-9939,0,0,0,0,0.031636050000147,-0.000335152245952486,0,0,0,0,1.61923224000004,0.00563214828798663
-9938,0,0,0,0,0.0377493300002074,-0.000304880225030502,0,0,0,0,1.65698157000024,0.00532726806295613
-9937,0,0,0,0,0.0374793799996005,-0.000294716820008034,0,0,0,0,1.69446094999984,0.0050325512429481
-9936,0,0,0,0,0.0336867200005544,0.000417768374973093,0,0,0,0,1.7281476700004,0.00545031961792119
-9935,0,0,0,0,0.0335292799994427,-0.0005549669449465,0,0,0,0,1.76167694999984,0.00489535267297469
-9934,0,0,0,0,0.0339725400002517,-0.00053619577874997,0,0,0,0,1.79564949000009,0.00435915689422472
-9933,0,0,0,0,0.0325069499999462,-6.66377673042007e-05,0,0,0,0,1.82815644000004,0.00429251912692052
-9932,0,0,0,0,0.0343632200001513,-0.000164603941811947,0,0,0,0,1.86251966000019,0.00412791518510857
-9931,0,0,0,0,0.0322782799999963,-0.000130479407289386,0,0,0,0,1.89479794000019,0.00399743577781919
-9930,0,0,0,0,0.0341991999997468,0.00024047421038631,0,0,0,0,1.92899713999993,0.0042379099882055
-9929,0,0,0,0,0.031679500000147,-0.000325075971431943,0,0,0,0,1.96067664000008,0.00391283401677355
-9928,0,0,0,0,0.0326844199998959,-0.000140053195536893,0,0,0,0,1.99336105999998,0.00377278082123666
-9927,0,0,0,0,0.0324895600004009,-0.000193185054286005,0,0,0,0,2.02585062000038,0.00357959576695065
-9926,0,0,0,0,0.0311225099993881,-9.13465237317723e-05,0,0,0,0,2.05697312999977,0.00348824924321888
-9925,0,0,0,0,0.0316041199999447,-9.95198843156686e-05,0,0,0,0,2.08857724999971,0.00338872935890321
-9924,0,0,0,0,0.0326218900001485,-4.6672703774675e-05,0,0,0,0,2.12119913999986,0.00334205665512854
-9923,0,0,0,0,0.0333215900002001,3.03817919302674e-05,0,0,0,0,2.15452073000006,0.00337243844705881
-9922,0,0,0,0,0.032937870000048,-6.39709892311657e-05,0,0,0,0,2.18745860000011,0.00330846745782764
-9921,0,0,0,0,0.0283631499998385,-2.85464757325826e-05,0,0,0,0,2.21582174999995,0.00327992098209506
-9920,0,0,0,0,0.0263336399998356,-2.09106246984447e-05,0,0,0,0,2.24215538999978,0.00325901035739661
-9919,0,0,0,0,0.0315868700003492,-0.00010065452534036,0,0,0,0,2.27374226000013,0.00315835583205625
-9918,0,0,0,0,0.0353995799998501,-1.08433910099848e-05,0,0,0,0,2.30914183999998,0.00314751244104627
-9917,0,0,0,0,0.0365453099998014,-6.22534939793695e-05,0,0,0,0,2.34568714999978,0.0030852589470669
-9916,0,0,0,0,0.0374735900002576,1.99821447495196e-05,0,0,0,0,2.38316074000004,0.00310524109181642
-9915,0,0,0,0,0.0368884799999534,-1.64744678841089e-05,0,0,0,0,2.42004921999999,0.00308876662393231
-9914,0,0,0,0,0.0351065599999505,-1.89433799278049e-05,0,0,0,0,2.45515577999994,0.0030698232440045
-9913,0,0,0,0,0.0329319400000481,3.43298825100646e-06,0,0,0,0,2.48808771999999,0.00307325623225551
-9912,0,0,0,0,0.040448039999757,-6.31170223641675e-06,0,0,0,0,2.52853575999975,0.00306694453001909
-9911,0,0,0,0,0.0386663200006636,-4.57105670648161e-05,0,0,0,0,2.56720208000041,0.00302123396295428
-9910,0,0,0,0,0.0346579199993939,0.000107822570953431,0,0,0,0,2.60185999999981,0.00312905653390771
-9909,0,0,0,0,0.0392643200000582,-9.00546510820277e-05,0,0,0,0,2.64112431999986,0.00303900188282568
-9908,0,0,0,0,0.0394743300000081,9.85085807769792e-06,0,0,0,0,2.68059864999987,0.00304885274090338
-9907,0,0,0,0,0.0369756999999534,-0.00022952260906095,0,0,0,0,2.71757434999983,0.00281933013184243
-9906,0,0,0,0,0.034299259999949,6.48029345029499e-06,0,0,0,0,2.75187360999977,0.00282581042529272
-9905,0,0,0,0,0.0353959299999003,-1.52901152432605e-05,0,0,0,0,2.78726953999968,0.00281052031004946
-9904,0,0,0,0,0.0377225100004599,0.000371391166936519,0,0,0,0,2.82499205000014,0.00318191147698598
-9903,0,0,0,0,0.0360672999997497,-0.000132737905914837,0,0,0,0,2.86105934999989,0.00304917357107115
-9902,0,0,0,0,0.0378931800002074,-8.87033611434163e-05,0,0,0,0,2.89895253000009,0.00296047020992773
-9901,0,0,0,0,0.0386864000000066,-6.33034010206757e-05,0,0,0,0,2.9376389300001,0.00289716680890705
-9900,0,0,0,0,0.0454607600001186,-0.000117454149858531,0,0,0,0,2.98309969000022,0.00277971265904852
-9899,0,0,0,0,0.0376128199996006,-0.000104541238215461,0,0,0,0,3.02071250999982,0.00267517142083306
-9898,0,0,0,0,0.0345631400003537,0.000391766193843068,0,0,0,0,3.05527565000017,0.00306693761467613
-9897,0,0,0,0,0.0400297699996551,-0.000120935558697965,0,0,0,0,3.09530541999983,0.00294600205597817
-9896,0,0,0,0,0.0376088599998028,-2.88941300823353e-05,0,0,0,0,3.13291427999963,0.00291710792589583
-9895,0,0,0,0,0.0378322200002073,-8.28099919090164e-05,0,0,0,0,3.17074649999984,0.00283429793398681
-9894,0,0,0,0,0.0349169300002532,5.60050430067349e-05,0,0,0,0,3.20566343000009,0.00289030297699355
-9893,0,0,0,0,0.0366570100000538,0.00015812947322047,0,0,0,0,3.24232044000014,0.00304843245021402
-9892,0,0,0,0,0.0446537099998646,0.000272365855835233,0,0,0,0,3.28697415000001,0.00332079830604925
-9891,0,0,0,0,0.0468542500002219,-4.13800808019005e-06,0,0,0,0,3.33382840000023,0.00331666029796906
-9890,0,0,0,0,0.0372485499999032,0.000312773579025816,0,0,0,0,3.37107695000013,0.00362943387699488
-9889,0,0,0,0,0.0500891300000757,0.000434330519055948,0,0,0,0,3.42116608000021,0.00406376439605083
-9888,0,0,0,0,0.0452395199999163,0.000268723000772297,0,0,0,0,3.46640560000013,0.00433248739682312
-9887,0,0,0,0,0.0369388599999534,-0.000382276740765519,0,0,0,0,3.50334446000008,0.0039502106560576
-9886,0,0,0,0,0.0261700399999359,-0.000301933503124019,0,0,0,0,3.52951450000001,0.00364827715293358
-9885,0,0,0,0,0.0389888799999061,-0.000195983384855936,0,0,0,0,3.56850337999992,0.00345229376807765
-9884,0,0,0,0,0.0327874400000983,-0.000131572059217433,0,0,0,0,3.60129082000002,0.00332072170886022
-9883,0,0,0,0,0.033993639999797,-2.16945727515849e-05,0,0,0,0,3.63528445999982,0.00329902713610863
-9882,0,0,0,0,0.0272121500001397,-0.000360278629159438,0,0,0,0,3.66249660999996,0.00293874850694919
-9881,0,0,0,0,0.0334414099999476,7.7473745932366e-05,0,0,0,0,3.6959380199999,0.00301622225288156
-9880,0,0,0,0,0.0414642900002132,-3.15521629090654e-05,0,0,0,0,3.73740231000012,0.00298467008997249
-9879,0,0,0,0,0.0326668099996936,-4.97832406836096e-05,0,0,0,0,3.77006911999981,0.00293488684928888
-9878,0,0,0,0,0.0289574099999403,0.000135379313633166,0,0,0,0,3.79902652999975,0.00307026616292205
-9877,0,0,0,0,0.0382342500001069,6.50456631774432e-05,0,0,0,0,3.83726077999986,0.00313531182609949
-9876,0,0,0,0,0.0371459600001558,-0.000112908659957611,0,0,0,0,3.87440674000001,0.00302240316614188
-9875,0,0,0,0,0.0341866999999992,6.40196867607301e-05,0,0,0,0,3.90859344000001,0.00308642285290261
-9874,0,0,0,0,0.033088320000048,6.47066881356295e-05,0,0,0,0,3.94168176000006,0.00315112954103824
-9873,0,0,0,0,0.0361081500002045,3.93992909266672e-05,0,0,0,0,3.97778991000027,0.00319052883196491
-9872,0,0,0,0,0.0243613299995286,4.64659979115822e-05,0,0,0,0,4.00215123999979,0.00323699482987649
-9871,0,0,0,0,0.0316058900004497,-2.10404978133738e-05,0,0,0,0,4.03375713000024,0.00321595433206312
-9870,0,0,0,0,0.0196617699995715,7.64124638408248e-05,0,0,0,0,4.05341889999981,0.00329236679590394
-9869,0,0,0,0,0.015417950000171,5.50313970961724e-05,0,0,0,0,4.06883684999999,0.00334739819300011
-9868,0,0,0,0,0.0283649599998886,3.67230832125642e-05,0,0,0,0,4.09720180999987,0.00338412127621268
-9867,0,0,0,0,0.0288205699999906,3.89877386623994e-05,0,0,0,0,4.12602237999987,0.00342310901487508
-9866,0,0,0,0,0.0303791000000437,5.83272062613105e-05,0,0,0,0,4.15640147999991,0.00348143622113639
-9865,0,0,0,0,0.0324643400001986,3.92116885450378e-05,0,0,0,0,4.18886582000011,0.00352064790968143
-9864,0,0,0,0,0.0277034999995847,2.80101035059488e-05,0,0,0,0,4.21656931999969,0.00354865801318737
-9863,0,0,0,0,0.0311490300002976,4.44048937424668e-05,0,0,0,0,4.24771834999999,0.00359306290692984
-9862,0,0,0,0,0.0378862499997525,3.23675540130353e-05,0,0,0,0,4.28560459999974,0.00362543046094288
-9861,0,0,0,0,0.0341534699999992,2.97917499665346e-05,0,0,0,0,4.31975806999974,0.00365522221090941
