## //////////////////////////////////////////////////////////////////////////////////
## 
## PEATLAND C BALANCE (LPX)
## 
## Annual peatland net ecosystem productivity (NEP) and total global peatland C 
## storage (TOTC), simulated by LPX. 
## 
## NEP represents the net CO2 exchange between the biosphere and the atmosphere over 
## active peatlands only. This is compared to annual values of NCB in Fig. S1 (Stocker 
## et al., 2017). TOTC represents the total global amount of C stored in active 
## peatlands as simulated by LPX and is compared in Fig. 1 (Stocker 
## et al., 2017) to cumulative values of YML NCB. Cumulative NEP is not identical to 
## TOTC due to simulated spatial shifts in peatland extent and decaying peat C not
## accounted for in NEP.
## 
## Citation: Stocker et al.: Holocene peatland and ice core data constraints on 
## the timing and magnitude of CO2 emissions from past land use, PNAS, 2017
##
## This data is made available under the GNU General Public License v3.0
##
## Columns description:
## 1.  year      year CE
## 2.  nep       net ecosystem productivity, summed over all peatland areas globally (PgC yr-1)
## 3.  totc      total global carbon storage in peatlands (PgC)
## 
## ----------------------------------------------------------------------------------
"year","nep","totc"
-9475,0.045536042,278.44566
-9465,0.053905691,279.20468
-9455,0.034062873,280.22318
-9445,0.032573249,281.33732
-9435,0.032529165,282.26238
-9425,0.039984468,283.71913
-9415,0.037429413,284.44679
-9405,0.034626833,284.79998
-9395,0.046027101,283.82639
-9385,0.036140508,283.98901
-9375,0.04127508,284.92442
-9365,0.03655563,285.11226
-9355,0.045532769,284.50881
-9345,0.042770138,284.72573
-9335,0.047211345,285.53292
-9325,0.037000899,284.56907
-9315,0.035204388,282.05414
-9305,0.03477838,280.02691
-9295,0.030389615,279.17529
-9285,0.038982509,278.53704
-9275,0.047676905,278.11327
-9265,0.04233162,277.78227
-9255,0.046402882,278.30436
-9245,0.034284797,277.69754
-9235,0.029197108,277.60339
-9225,0.041718959,276.36308
-9215,0.044338888,273.59753
-9205,0.040069719,272.79376
-9195,0.012067439,273.94191
-9185,0.034633719,275.79558
-9175,0.031282741,278.16443
-9165,0.03383674,277.70914
-9155,0.02645535,277.24104
-9145,0.039622086,276.97453
-9135,0.03808455,276.07011
-9125,0.034160309,277.08218
-9115,0.026290222,278.51522
-9105,0.03255192,279.51962
-9095,0.034267397,280.83002
-9085,0.031767643,283.44921
-9075,0.027885079,285.60256
-9065,0.03649541,286.74467
-9055,0.017401083,287.34025
-9045,0.047792502,287.14871
-9035,0.027320824,286.9841
-9025,0.041034851,284.58286
-9015,0.038315535,284.24501
-9005,0.041457972,284.20922
-8995,0.033651251,285.18025
-8985,0.040210139,284.75286
-8975,0.043727758,282.2036
-8965,0.04750421,280.85551
-8955,0.037990613,280.76
-8945,0.050707556,283.05872
-8935,0.048132252,286.34201
-8925,0.039286828,289.67711
-8915,0.042068082,291.46796
-8905,0.042090717,291.41509
-8895,0.051323881,289.0582
-8885,0.04483637,288.20919
-8875,0.04161889,290.17826
-8865,0.042395655,291.40765
-8855,0.032473278,291.71599
-8845,0.019123994,289.88232
-8835,0.03974914,289.04516
-8825,0.043658893,287.54719
-8815,0.045724425,287.33823
-8805,0.047506443,288.59829
-8795,0.052280682,290.85126
-8785,0.035779843,293.37192
-8775,0.041587066,293.25779
-8765,0.042817894,291.02512
-8755,0.039812628,289.60427
